,loss,out1_loss,out2_loss,out1_accuracy,out2_accuracy,val_loss,val_out1_loss,val_out2_loss,val_out1_accuracy,val_out2_accuracy
0,1.183093667,1.017163157,1.293711662,0.742043197,0.645653248,0.429412842,0.318217725,0.50354296,0.911596596,0.850571513
1,0.42545417,0.333209187,0.486950427,0.899958253,0.848156631,0.244502962,0.201719284,0.273025602,0.939159274,0.915376127
2,0.294324219,0.240957469,0.329902321,0.924729884,0.894965649,0.191816911,0.162679404,0.21124205,0.948746324,0.93685472
3,0.239767715,0.196624041,0.268530816,0.939282298,0.914228857,0.154240429,0.131016418,0.169723034,0.959070802,0.946994841
4,0.19817172,0.165569961,0.219905928,0.947314143,0.928818822,0.134054855,0.11446096,0.147117645,0.963219047,0.953263283
5,0.176894948,0.151958868,0.193519264,0.951645374,0.936026514,0.106201462,0.089953706,0.117033146,0.972068608,0.962204993
6,0.155424178,0.133031622,0.170352429,0.958710968,0.945054412,0.093588509,0.078290455,0.103787169,0.976124644,0.967090726
7,0.13701342,0.121641457,0.147261396,0.96197772,0.952349365,0.089132085,0.072860785,0.099979505,0.97640115,0.969579637
8,0.125113785,0.108413763,0.13624683,0.965809464,0.9552477,0.077368349,0.070522584,0.081932172,0.978521407,0.973543525
9,0.11636807,0.104202576,0.124478534,0.966718256,0.959128559,0.077858783,0.066989377,0.085105099,0.976862073,0.973451316
10,0.105319425,0.09344884,0.11323306,0.969302535,0.963605106,0.067900911,0.064190865,0.070374228,0.977876127,0.977783918
11,0.098353684,0.087989062,0.105263308,0.971630692,0.965219975,0.061077602,0.056440085,0.06416925,0.982024312,0.978982329
12,0.091274872,0.081927352,0.097506538,0.973399162,0.96811831,0.059880305,0.059133168,0.060378447,0.980549395,0.981379032
13,0.08039277,0.072977327,0.08533638,0.9766168,0.971630692,0.055979814,0.052326657,0.058415256,0.98340708,0.981839955
14,0.076904334,0.070597395,0.081109121,0.977648437,0.973227203,0.059613198,0.055856183,0.062117793,0.980641603,0.979535401
